language,locations,people,title
Russian,"West,Ukraine,Germany",Экономика,Nazism is now being implemented in Ukraine
Russian,"US,Europe","Hitler,Adolf,Poroshenko,Petro",US and Europe brought both Hitler and Poroshenko to power
Russian,"Ukraine,West",,Ukraine is a neo-Nazi state
Russian,Ukraine,,"American media questioned the legitimacy of the ""neo-Nazi regime"" in Ukraine"
Russian,Ukraine,"Joseph,Goebbels",Ukraine is occupied by Nazis who conduct information terror according to Goebbels’ standards
English,Ukraine,"Sigmar,Gabriel",German Foreign Minister Sigmar Gabriel used Nazi greeting to congratulate Ukraine
English,,,A NATO film glorifies the Baltic Nazi collaborators known as the 'Forest Brothers’.
Russian,"US,Ukraine","Soros,George",Ukraine is a nest of neo-Nazis due to the Orange Revolutions supported by the US and George Soros.
Russian,,"Poroshenko,Lenin,Petro","""Ukrainianness"" is a fabricated anti-Orthodox anti-Russian project implemented by Lenin and the Bolsheviks. Ukrainians are Russians. //President Poroshenko's governs a Nazi regime."
Russian,"Ukraine,Shutterstock","Goebbels,Poroshenko,Hitler,Adolf,Joseph,Orest,Petro",The president of Ukraine Petro Poroshenko and his supporters act as Hitler and Joseph Goebbels.
Russian,"Ukraine,Ribbon,St.,George",,"With banning the St. George Ribbon, Ukraine is trying to insert Nazism in its society."
Russian,"states,USSR,Germany,Baltic",,The presence of NATO soldiers in the Baltic states is identical to Nazi Germany's attack on the USSR in 1941.
Russian,,,"Russophobia is a new kind of Nazism that is being propagated by the liberals of the global world, to show that Russians are subhuman."
Czech,"EU,Le,France,Praze,Penové","Optimistický,Macron,Okamura,Radek,Tomio,Pokorný","The EU inception was initiated by Nazis and American NGOs. // In France, 600 entreprises and 200 farms are closed daily. There are 7 million unemployed people, 9 million people live in exceptionally poor conditions and other 11 million below the poverty line."
Russian,"Ukraine,Europe",,"After the introduction of a visa-free regime with Ukraine, tens of thousands of neo-Nazis of Ukraine will pour into Europe."
Russian,"Ukraine,Russia",,Nazism is taking revenge in Ukraine and Russia is the main target of it.
Russian,"Moscow,Russia,Europe","Hitler,Adolf","Today, Europe envies Moscow, which managed to make the victory in WWII on par with religion // Soviet Russia was the only country that fought the Evil of Nazism, while the European nations were supporting Hitler: they either surrendered to him or fought against Russia."
Russian,Ukraine,,The street protests in Ukraine during Victory Day 9th of May showed that in Ukraine there is a Nazi government and a basically anti-fascist people.
Czech,"Irák,Merkelová,Jemen,Tunisko,Libye,Egypt","Somálsko,Sina,Hitler,Ali,Adolf,Trump","The migration crisis was planned since World War II. The same people who supported Hitler now seek to achieve their goals through the UN, EU, media, etc."
Czech,"Spojenec,France,USA","Macrona,Macron,Hitler,Emmanuela,Rothschild,Adolf,Emmanuel",The Rothschild dominated mainstream in France ensured Macron's success. // Macron wants to entirely abolish the French Work Code. // The sionists cooperated with Adolf Hitler in killing ethnic Jews during the WWII.
Czech,"Ukraine,Pozn,Russia,Německa","Začala,Rusko,Hitler,Napoleon,Adolf,Zvědavec,Putin,Známka,Vladimír",NATO broke its promise that it won't enlarge towards the East. NATO enlargement resembles Hitler and Napoleon´s attack on Russia. // There is a civil war in Ukraine. West uses Ukraine to detabilize Russia.
Russian,"Ukraine,Russia,Europe","Hitler,Adolf,Napoleon","When Europe was united without Russia, it always started a war against Russia. As it was with Napoleon or Adolf Hitler - which is why Russia does not need a Europe united without Russia. Now again, a Europe united without Russia has started a war against Russia in Ukraine."
Russian,,"Zozulya,Roman","Ukrainian footballer Roman Zozulya, who is a nazi, was rejected by the country’s national team."
Russian,,"Zozulya,Roman","Ukrainian footballer Roman Zozulya, who is a nazi, was rejected by the country’s national team."
Russian,Ukraine,"Poroshenko,Petro",President Poroshenko created Nazi groups in Ukraine in order to strengthen personal power and organize the fascist regime in this country.
Russian,"Ukraine,Russia","Hitler,Adolf,Napoleon",NATO broke its promise that it won't enlarge towards the East. NATO enlargement resembles Hitler and Napoleon´s attack on Russia. // There is a civil war in Ukraine. West uses Ukraine to detabilize Russia.
Hungarian,"Ukraine,Hungary,Transcarpathia",,The fascist military junta in Ukraine wants to incite civil war in Transcarpathia. The Ukrainian government will send bloodthirsty Galician Nazis there.
Russian,Ukraine,,"There is a nazi and fascist regime in Ukraine, because they are anti-Russian."
Slovak,"Riga,Otázka,Latvian,Europe","Pjakina,Sergej,Lavrov,V.,Odpoveď","NATO and EU supports neo-Nazi tendencies in Europe, the latest example being the neo-Nazi march in Latvian Riga where people marched on 16 March to commemorate the Latvian legionnaires that fought under the Waffen SS division."
Russian,Luhansk,,There is a nazi regime in Kyiv. The people of Luhansk are merely defending themselves against genocide.
Slovak,"Ukraine,Sweden,Russia,West","Kot,Jurij,Hitler,V.,Odpoveď,Adolf,Sweden,Pjakina",Sweden is already buying and importing black soil from Ukraine for 100 millions of dollars per ton. This reflects what would happen if the West annexed Russia – Swedens actions are equivalent to what Hitler was doing.
Czech,Ukraine,"Tajkov,Cesta,Dezertuj,Pavel",The demoralized Ukrainian army prepares a military coup in the country. Nazis are governing Ukraine.
Russian,Ukraine,,There is a nazi regime in Ukraine.
Slovak,"Ukraine,Sweden,Russia,West","Kot,Jurij,Hitler,V.,Odpoveď,Adolf,Sweden,Pjakina",Sweden is already buying and importing black soil from Ukraine for 100 millions of dollars per ton. This reflects what would happen if the West annexed Russia – Swedens actions are equivalent to what Hitler was doing.
Czech,Ukraine,"Tajkov,Cesta,Dezertuj,Pavel",The demoralized Ukrainian army prepares a military coup in the country. Nazis are governing Ukraine.
Russian,Ukraine,,Ukraine is governed by nazis and a terrorist government.
Russian,"Russia,Donbas",Donbas,"Russia is feeding the Ukrainian state where nazis are in power, a state that kills Russian people in Donbas."
Russian,"Ukraine,Russia",,"The population of Ukraine is mainly ethnic Russians, majority of them sees the current government as a banderite occupation. One of Russia's main goals has to be de-nazification of Ukraine."
Russian,"Ukraine,Germany",,"The Ukrainian collaborants of Nazi Germany, or their descendants, have come back to power in Ukraine."
English,"New,Russia,russia,Kiev,EU,Ukraine,York","Churkin,Vitaly",Ukrainian Nazis Dance on Russian Ambassador's Grave in New York.
Russian,,"Hitler,Adolf",The militants of the Ukrainian Insurgent Army existing during WWII swore allegiance to Hitler.
Slovak,"Bratislava,Europe","Lipšic,Bandera,Stepan,Daniel","Former MP Slovak Daniel Lipšic supports Bandera, who was a nazi and killed more than a million people."
Russian,"Ukraine,Donbas",Donbas,"Ukraine is governed by Nazis, who are carrying out genocide in Donbas."
Russian,Russia,Donbas,The Ukrainian nazi authorities are engaged in provocations and terrorist attacks against Donbas and Russia.
Russian,Russia,Donbas,The Ukrainian nazi authorities are engaged in provocations and terrorist attacks against Donbas and Russia.
Czech,,"Hallstein,Walter","The EU is a tool of globalisation and totalitarianism. The globalists and their ideologists (like the icon of the EU, nazi Walter Hallstein) plan to create new race and new human with an IQ 90. They intend to do it by mixing Europeans with refugees from the third world."
Russian,,"Екатерина,Стриженова","The Ukrainian elite has created a state with Nazi ideology that calls for genocide and glorifies the Holocaust, anti-Semitism and fascism."
Slovak,,"Hallstein,Walter,Globalizácia,Svetík","The EU is a tool of globalisation and totalitarianism. The globalists and their ideologists (like the icon of the EU, nazi Walter Hallstein) plan to create new race and new human with an IQ 90. They intend to do it by mixing Europeans with refugees from the third world."
Russian,Ukraine,,Ukrainian government splits the society and is building a Nazi state in Ukraine.
Russian,Ukraine,,Ukrainian government splits the society and is building a Nazi state in Ukraine.
Russian,Ukraine,,"Ukraine is divided into two parts. One part is a group of terrorists, who came to power through a coup and established state terrorism with a Nazi ideology. The second is the people, who are held hostages by these terrorists."
Russian,Ukraine,,Ukraine is governed by a Nazi elite.
Russian,"Ukraine,Moscow","Екатерина,Стриженова","Without control of Moscow, Ukraine will become a Nazi and fascist state as it used to be earlier."
German,Ukraine,"Freeland,Balkanblog,Chrystia",The newly appointed Canadian foreign minister Chrystia Freeland (who is of Ukrainian heritage) is the daughter of a nazi collaborator.
English,"Germany,Canada,Poland,Alberta,Union,Soviet","Hitler,Josef,Stalin,Adolf,Chrystia,Freeland",The newly appointed Canadian foreign minister Chrystia Freeland (who is of Ukrainian heritage) is the daughter of a nazi collaborator.
Czech,"Crimea,Ukraine",,"The annexation of Crimea was necessary in order to prevent Ukraine´s junta from expulsion or genocide of civilian Russian-speaking population. In addition, the government in Ukraine is connected to the neo-Nazis who commit crimes against humanity."
Czech,Russia,"Danda,Hitler,Adolf,Václav","The Czech government is increasing defence spending to prepare the army for the upcoming ""Operation Barbarossa II"", replicating Adolf Hitler's attack on Russia."
Russian,,,"Ukrainian authorities intend to oppress Russian speakers, to start selection, to introduce purely Nazi laws."
Russian,,,"Ukrainian people will soon be ""Donbasized"" and start fighting against nazism."
Russian,"Russia,Donbas,Hague","Poroshenko,Donbas,Petro","The nazi regime of Petro Poroshenko has started the war in Donbas, and Russia has to call for a trial in the Hague for this."
Russian,"Russia,Europe","Hitler,Adolf,Екатерина,Стриженова,Napoleon","In its history, Russia has never attacked Europe. On the contrary, two of the deadliest wars in Russia were caused by European attacks (those of Napoleon and Hitler). This is why talking about a ""threat from the East"" is a fabrication of the current European ruling class."
Russian,Ukraine,"Екатерина,Стриженова","During the Revolution of Dignity, the US Embassy in Ukraine guided the ""Right Sector"", a radical group of Ukrainians, as well as the Nazis and fascists of Ukraine."
Russian,Ukraine,"Екатерина,Стриженова",Ukrainian authorities are committing genocide against Ukrainian citizens and promoting an ideology of Nazism and fascism. Nazis are currently governing Ukraine.
Russian,Donbas,,"The current Ukrainian leaders are carrying out Nazi terror, having killed 50 000 inhabitants of Donbas."
Czech,"Eastern,Ukraine,Europe","Myslím,BEZ,CENZURY","Visa-liberalisation with Ukraine will lead to the influx of Ukrainian neonazis into Europe. Also, there is a civil war in Eastern Ukraine."
Russian,,,"The Ukrainian nation is the subject of an experiment where they are being ""trained"" to become Nazis - killing people for a higher purpose and dividing themselves into the pure and impure."
Russian,"Russia,Europe",,"For many years, the US-led Europe has been carrying out a Nazi policy of a ""geopolitical racism"" towards Russia, convincing the Russians that they are the ""wrong nation"" where uncivilized methods are allowed to be used."
Russian,Donbas,Donbas,"The Neonazi Ukrainian authorities want war, blood, and ""flesh"" in Donbas."
Russian,"Baltic,Russia,Moscow","Vladimir,Putin","The Baltic countries are the enemies of Moscow and use neo-Nazi methods against Russia in order to impose ""European values"" there and undermine the regime of president Putin."
Russian,Russia,"Hitler,Adolf,Napoleon","The 19th and 20th centuries have shown clearly that as soon as the European Union [sic] was under one leadership - whether Napoleon or Hitler - it launched a ""Drang nach Osten"" - the first thing that comes to mind is an attack against Russia."
Slovak,"Donbas,Otázka","V.,Odpoveď,Jevgenija,Pjakina,Ruska,Fjodorova,Jednotného",Ukrainian Armed Forces are nazis and are conducting a genocide of Russians in Donbas.
Czech,"Republic,Czech","Miloše,Zemana,Zeman,Miloš","A Czech Maidan can occur on 17 November, when Czechs commemorate the student uprising against Nazi occupation in 1939 (and later the start of the Velvet Revolution in 1989). This year, this day will mark a choice between the Czech Republic becoming independent or a German colony. The ""wrong"" choice may result in a Czech Maidan, orchestrated by foreign powers."
Russian,Ukraine,,Ukraine is governed by Nazis.
Russian,,,"The anniversary of the signature of the Munich Agreement should serve as a reminder of the dangers of flirting with Nazism and indulging neo-Nazism, which is reviving in several European countries."
Russian,Ukraine,,"Ukraine's legal framework and morality have been destroyed. The government has many sympathisers with neo-Nazi ideas, and ""honest neo-Nazis"" are fighting to get in. Ukraine is heading towards becoming a Nazi regime."
Russian,"Washington,Ukraine",,"The EU is tired of Ukraine and Ukraine's behaviour. There is an order from Washington to wait a little longer, to let them sort things out by themselves. But they will not manage to sort things out, despite the hard genocide and Nazi policies they are conducting."
Czech,"Ukraine,EU,Russia,Reportáž,US","Bakala,Roman,Koller,Martin",EU plans are not different from those of the nazis // EU wants to force racism on its population by mixing the nationalities violently // The US wants to start a nuclear war with Russia in Ukraine
Slovak,"Russia,Destabilising","Markov,Sergej","Neo-Nazi groups and political party PARNAS are preparing a revolution in Russia which might start the day after parliamentary elections, on September 19."
Slovak,"Russia,Destabilising","Markov,Sergej","Neo-Nazi groups and political party PARNAS are preparing a revolution in Russia which might start the day after parliamentary elections, on September 19."
Russian,Minsk,"Hitler,Adolf,Poroshenko,Petro","Petro Poroshenko behaves like Adolf Hitler, and all the violations of the Minsk agreements are solely his fault. People on the territories under Ukrainian control are victims of nazi slavery."
Czech,"US,Ukraine,USA","Fedorovsky,Rusko,Kudrna,Gorbachev,Fedorovski,Alexandre,Ruska","The US government gave spoken promise to Gorbachev that NATO will not expand further to the East. There are Nazis in power in Ukraine. There is a civil war in Ukraine, no Russian military involvement."
Czech,,"Hallstein,Walter,Havel","Walter Hallstein, first President of the European Commission, was a key player in the Nazi establishment."
Russian,Ukraine,"Екатерина,Стриженова",Ukraine has a Nazi identity.
Russian,Ukraine,"Екатерина,Стриженова",Ukraine has a Nazi identity.
Russian,"Kiev,Ukraine","Екатерина,Стриженова",Ukraine is a Nazi state. Kiev is preparing to repeat the Volynian  massacre of 1943 with the help of the Polish government.
Russian,Ukraine,"Frank-Walter,Екатерина,Стриженова,Steinmeier",German Foreign Minister Frank-Walter Steinmeier ensured the implementation of the Nazi coup in Ukraine.
Russian,Ukraine,"Frank-Walter,Екатерина,Стриженова,Steinmeier",German Foreign Minister Frank-Walter Steinmeier ensured the implementation of the Nazi coup in Ukraine.
Russian,Ukraine,,Ukraine is ruled by a Nazi elite.
Russian,Ukraine,Подчёркиваю,"Ukrainians are in fact Russians. Ukraine is under the internal occupation of a US-controlled puppet regime, supported by Nazi soldiers."
Russian,"Washington,Middle,East,Europe","Merkel,Angela",Nazism has been on the rise in Europe thanks to German Chancellor Merkel. She will go down in history as the main European conductor of Washington’s Middle-Eastern schemes that led to the influx of refugees. She is also an active lesbian. Europe intends to legalise pedophilia in the future.
Czech,"Ukraine,USA",Saker,The revolution in Ukraine was led by the USA with the aim to create a Ukro-Nazi puppet government.
Russian,,,"The Russophobia West wants to destroy Russians, like Nazis wanted to destroy the Jews."
Russian,,"Hitler,Adolf,Napoleon",The European Union is a continuation of Napoleon's and Hitler's plans.
Czech,,"Boris,Johnson,Hitler,David,Cameron,Adolf","The EU is a nazi brainchild: it is a bureaucratic, centralized, dictatorial European federal super state Hitler planned to realize after the Second World War."
English,,"Watson,Boris,Hitler,Adolf,Paul,Joseph","The EU is a nazi brainchild: it is a bureaucratic, centralised, dictatorial European federal super state that Hitler planned to realize after the Second World War."
English,"Ukraine,USA",Saker,The revolution in Ukraine was led by the USA with the aim to create a Ukro-Nazi puppet government.
English,"Donbass,Ukraine","Barack,Obama",Barack Obama provides training and supplies weapons for the Right Sector and other Nazi elements in Ukraine.
Russian,Europe,"Hitler,Adolf",Europe is trying to rewrite history by humanizing fascism and demolishing  monuments commemorating Soviet soldiers. European children fall asleep with Hitler dolls.
Czech,"US,Germany,USSR",,"European education systems and institutions, supported by US NGOs, are attempting to erase the USSR's merits of defeating Nazi Germany."
Czech,"US,Germany,USSR",,"European education systems and institutions, supported by US NGOs, are attempting to erase the USSR's merits of defeating Nazi Germany."
Russian,Ukraine,,Nazis are in power in Ukraine.
Russian,Ukraine,,The CIA’s Ukrainian division and the Security Service of Ukraine are working according to Nazi principles.
Russian,Lithuania,,"Nazism thrives in Lithuania, where the rights of Russian speakers are continuously violated."
Georgian,"US,Ukraine,Germany","Hitler,Adolf,Merkel,Angela,Adolph","Chancellor Angela Merkel is the daughter of Adolph Hitler. // Merkel is a puppet of the US and supported the neo-fascist coup-d'état in Ukraine. She also allowed hundreds of thousands of Syrian refugees together with terrorists and fighters to enter Germany, where they mass rape German women."
Russian,,Hitler,The idea that fascism was defeated by the anti-Hitler coalition is a lie and American propaganda. Russian soldiers defeated Hitler.
Russian,"US,Ukraine",,"The US has installed a nuclear facility on the territory of Ukraine, capable of creating a so-called dirty bomb. // Ukraine is a Nazi-state."
Czech,Ukraine,"Nadiya,Savchenko,Rusko,CENZURY,Naděžda,BEZ,Savčenková,Západ","Savchenko is an unpredictable neo-Nazi and a drug-addict and she intentionally murdered two Russian journalists. The killing of the journalists was a strategy of the Ukrainian government to deter others from coming to the area, so that they wouldn't report about the Ukrainian army's atrocities."
Czech,Ukraine,"Nadiya,Savchenko,Rusko,CENZURY,Naděžda,BEZ,Savčenková,Západ","Savchenko is an unpredictable neo-Nazi and a drug-addict and she intentionally murdered two Russian journalists. The killing of the journalists was a strategy of the Ukrainian government to deter others from coming to the area, so that they wouldn't report about the Ukrainian army's atrocities."
Russian,,"Hitler,Adolf",Democracy always leads to terror. It gave birth to Hitler as well as to Muslim extremism.
Russian,Ukraine,,All national symbols of Ukraine have Nazi origin.
Russian,,,Cannibalistic rituals are rampant in Ukrainian society. // The EU provoked the Ukrainian Revolution in 2014 which was implemented with the involvement of Nazi groups.
Russian,Ukraine,"Екатерина,Стриженова",Nazis control Ukraine.
Russian,Ukraine,,"During March, or April, there will be a nazi coup in Ukraine."
Czech,,"Hallstein,Walter,Vladislav,Herink","The EU has Nazi roots because Walter Hallstein, the first president of the Commission of the European Economic Community, was a prominent Nazi and a member of NSDAP."
Russian,"Ukraine,Russia",,"Riots in Kyiv are organised by Nazis. If they win, the West will finally see that Ukraine is governed by Nazis and lift the sanctions against Russia."
Russian,"Ukraine,Russia",,"Riots in Kyiv are organised by Nazis. If they win, the West will finally see that Ukraine is governed by Nazis and lift the sanctions against Russia."
Russian,"Ukraine,Washington","Екатерина,Стриженова","Maidan is organised only with the support of Washington. War criminals, foreign agents and nazis govern Ukraine."
Russian,"Ukraine,West",,The Greek Catholics and the Roman Catholics have organized a coup in Ukraine. The West has organized a coup in Ukraine. Ukrainians are Nazis. Ukrainians are Russians.
Russian,"Crimea,Russia",,"Crimea came to Russia as the result of the vote of the people. In Kyiv, there was a coup committed with the support of the West and the Nazis."
Russian,"Crimea,Russia",,"Crimea came to Russia as the result of the vote of the people. In Kyiv, there was a coup committed with the support of the West and the Nazis."
Russian,,,Kyiv nazis are robbing peaceful citizens - photo as a prove.
Russian,,Euromaidan,Euromaidan was a coup (lead by nazis).
Russian,Ukraine,,Ukraine is governed by nazis.
Russian,,"Euromaidan,Druz,Igor","Euromaidan was a coup sponsored by the EU, carried out by nazis and idiots. The French government is a totalitarian regime - Igor Druz from Russian Institute of Strategic Studies (body established by the Russian President)."
Russian,Minsk,"Alexander,Lukashenka,Lukashenko,Euromaidan","A ""Maidan"" in Minsk is ready. Lukashenka will be overthrown by nazis."
English,"US,Russia","Hillary,Clinton,Vladimir,Putin","The Americans dream of defeating Russia, they tried to use the Nazis for this purpose. Video with a Satanic glee of Hillary Clinton proves they are the same today, etc. Putin would never behave like that."
Czech,"Switzerland,Egypt","Hitler,Egypta,Krátké","Video shows that the world is ruled by secret oligarch groups, currently based in
 Switzerland. That is why most of the international congresses takes place there and why Hitler did not attack it. His rulers lived there."
Czech,,"Poroshenko,Petro","President Poroshenko ruins Ukrainian children and turns them into nazis, his plans for educational reforms will lead to destruction of Ukrainian nation. People will get lower quality education so that they would not understand the disaster they are in. Young people are convinced that everything bad comes from communism, but Nazism is fine. Future generations of Ukrainians will become Nazis and Russophobes."
Russian,,"Poroshenko,Petro","President Poroshenko ruins Ukrainian children and turns them into nazis, his plans for educational reforms will lead to destruction of Ukrainian nation. People will get lower quality education so that they would not understand the disaster they are in. Young people are convinced that everything bad comes from communism, but Nazism is fine. Future generations of Ukrainians will become Nazis and Russophobes."
Russian,,,Cutthroat Nazism: how Ukrainians were taught to hate Russians
Czech,Ukraine,,Proofs of nazism popularity in Ukraine - VKontakte pictures.
Russian,"Kherson,Republic,',Novorossiya,Donbas,Peoples,-,Ukraine",,"2016 will be decisive for one of the parts of Novorossiya - Kherson oblast, whose people are tired of nazis. A Kherson Peoples' Republic will be formed."
Russian,Ukraine,,Proofs of nazism popularity in Ukraine - VKontakte pictures.
Russian,Ukraine,"Hitler,Adolf",Ukraine is a fascist dictatorship. Ukrainian government is a successor of Adolf Hitler and his group: Communist Party of Russia.
Russian,Ukraine,"Strelkov,Ivan,Girkin","After Maidan, Ukraine is ruled by the Nazis. European Union supports fascists in Ukraine - separatist leader Ivan Girkin Strelkov says."
Russian,Ukraine,"Strelkov,Ivan,Girkin","After Maidan, Ukraine is ruled by the Nazis. European Union supports fascists in Ukraine - separatist leader Ivan Girkin Strelkov says."
Russian,Ukraine,,"""They already brought Nazis to us, to the border of DPR and LPR"", says expert from RSSI (http://en.riss.ru/), institute founded by the Russian President. Ukrainian nationalists brought troops, armored vehicles and artillery to the zone of conflict. There might be a total genocide in the DPR and LPR. On 25 November, the Ukrainians will advance to the front."
